number,name,url,types,height_cm,weight_kg,next_evolutions,abilities
88,Grimer,https://pokemondb.net/pokedex/grimer,Poison,90.0 cm,30.0 kg,##0089 - Muk - https://pokemondb.net/pokedex/muk; ##0089 - Muk - https://pokemondb.net/pokedex/muk,"[{'name': 'Stench', 'desc': 'Helps repel wild POKéMON.', 'effect': 'A Pokémon with Stench has a 10% chance of causing the opponent to flinch when hit by a damaging move (provided the ability-bearer strikes first as usual).', 'url': 'https://pokemondb.net/ability/stench'}, {'name': 'Sticky Hold', 'desc': 'Prevents item theft.', 'effect': 'Sticky Hold prevents held items from being taken or switched.', 'url': 'https://pokemondb.net/ability/sticky-hold'}, {'name': 'Poison Touch', 'desc': 'May poison targets when a Pokémon makes contact.', 'effect': 'May poison targets when a Pokémon makes contact.\n', 'url': 'https://pokemondb.net/ability/poison-touch'}, {'name': 'Gluttony', 'desc': 'Encourages the early use of a held Berry.', 'effect': 'A Pokémon with Gluttony will use a pinch berry when its HP drops to 50%, rather than the usual 25%.', 'url': 'https://pokemondb.net/ability/gluttony'}, {'name': 'Power of Alchemy', 'desc': 'The Pokémon copies the Ability of a defeated ally.', 'effect': 'The Pokémon copies the Ability of a defeated ally.\n', 'url': 'https://pokemondb.net/ability/power-of-alchemy'}]"
89,Muk,https://pokemondb.net/pokedex/muk,Poison,120.0 cm,30.0 kg,##0088 - Grimer - https://pokemondb.net/pokedex/grimer,"[{'name': 'Stench', 'desc': 'Helps repel wild POKéMON.', 'effect': 'A Pokémon with Stench has a 10% chance of causing the opponent to flinch when hit by a damaging move (provided the ability-bearer strikes first as usual).', 'url': 'https://pokemondb.net/ability/stench'}, {'name': 'Sticky Hold', 'desc': 'Prevents item theft.', 'effect': 'Sticky Hold prevents held items from being taken or switched.', 'url': 'https://pokemondb.net/ability/sticky-hold'}, {'name': 'Poison Touch', 'desc': 'May poison targets when a Pokémon makes contact.', 'effect': 'May poison targets when a Pokémon makes contact.\n', 'url': 'https://pokemondb.net/ability/poison-touch'}, {'name': 'Gluttony', 'desc': 'Encourages the early use of a held Berry.', 'effect': 'A Pokémon with Gluttony will use a pinch berry when its HP drops to 50%, rather than the usual 25%.', 'url': 'https://pokemondb.net/ability/gluttony'}, {'name': 'Power of Alchemy', 'desc': 'The Pokémon copies the Ability of a defeated ally.', 'effect': 'The Pokémon copies the Ability of a defeated ally.\n', 'url': 'https://pokemondb.net/ability/power-of-alchemy'}]"
90,Shellder,https://pokemondb.net/pokedex/shellder,Water,30.0 cm,4.0 kg,##0091 - Cloyster - https://pokemondb.net/pokedex/cloyster,"[{'name': 'Shell Armor', 'desc': 'Blocks critical hits.', 'effect': 'Shell Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/shell-armor'}, {'name': 'Skill Link', 'desc': 'Increases the frequency of multi-strike moves.', 'effect': 'Skill Link causes multi-strike moves to always hit their maximum number of times. The moves affected are listed below; note that moves such as Double Kick that always strike the same number of times are not affected.', 'url': 'https://pokemondb.net/ability/skill-link'}, {'name': 'Overcoat', 'desc': 'Protects the Pokémon from damage from weather.', 'effect': 'Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).', 'url': 'https://pokemondb.net/ability/overcoat'}]"
91,Cloyster,https://pokemondb.net/pokedex/cloyster,"Water, Ice",150.0 cm,132.5 kg,,"[{'name': 'Shell Armor', 'desc': 'Blocks critical hits.', 'effect': 'Shell Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/shell-armor'}, {'name': 'Skill Link', 'desc': 'Increases the frequency of multi-strike moves.', 'effect': 'Skill Link causes multi-strike moves to always hit their maximum number of times. The moves affected are listed below; note that moves such as Double Kick that always strike the same number of times are not affected.', 'url': 'https://pokemondb.net/ability/skill-link'}, {'name': 'Overcoat', 'desc': 'Protects the Pokémon from damage from weather.', 'effect': 'Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).', 'url': 'https://pokemondb.net/ability/overcoat'}]"
92,Gastly,https://pokemondb.net/pokedex/gastly,"Ghost, Poison",130.0 cm,0.1 kg,##0093 - Haunter - https://pokemondb.net/pokedex/haunter; ##0094 - Gengar - https://pokemondb.net/pokedex/gengar,"[{'name': 'Levitate', 'desc': 'Not hit by GROUND attacks.', 'effect': 'Levitate causes the Pokémon to be raised (like Flying-type Pokémon).', 'url': 'https://pokemondb.net/ability/levitate'}]"
93,Haunter,https://pokemondb.net/pokedex/haunter,"Ghost, Poison",160.0 cm,0.1 kg,##0094 - Gengar - https://pokemondb.net/pokedex/gengar,"[{'name': 'Levitate', 'desc': 'Not hit by GROUND attacks.', 'effect': 'Levitate causes the Pokémon to be raised (like Flying-type Pokémon).', 'url': 'https://pokemondb.net/ability/levitate'}]"
94,Gengar,https://pokemondb.net/pokedex/gengar,"Ghost, Poison",150.0 cm,40.5 kg,,"[{'name': 'Cursed Body', 'desc': 'May disable a move used on the Pokémon.', 'effect': 'May disable a move used on the Pokémon.\n', 'url': 'https://pokemondb.net/ability/cursed-body'}, {'name': 'Shadow Tag', 'desc': 'Prevents the foe’s escape.', 'effect': 'Prevents the foe from escaping.\n', 'url': 'https://pokemondb.net/ability/shadow-tag'}]"
95,Onix,https://pokemondb.net/pokedex/onix,"Rock, Ground",880.0 cm,210.0 kg,##0208 - Steelix - https://pokemondb.net/pokedex/steelix,"[{'name': 'Rock Head', 'desc': 'Prevents recoil damage.', 'effect': 'Protects the Pokémon from recoil damage.\n', 'url': 'https://pokemondb.net/ability/rock-head'}, {'name': 'Sturdy', 'desc': 'Negates 1-hit KO attacks.', 'effect': 'Sturdy allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (Fissure, Horn Drill, Guillotine or Sheer Cold).', 'url': 'https://pokemondb.net/ability/sturdy'}, {'name': 'Weak Armor', 'desc': 'Physical attacks lower Defense and raise Speed.', 'effect': 'When a Pokémon with Weak Armor is hit by a physical move, its Defense drops one stage, but its Speed increases by one stage.', 'url': 'https://pokemondb.net/ability/weak-armor'}]"
96,Drowzee,https://pokemondb.net/pokedex/drowzee,Psychic,100.0 cm,32.4 kg,##0097 - Hypno - https://pokemondb.net/pokedex/hypno,"[{'name': 'Insomnia', 'desc': 'Prevents sleep.', 'effect': 'Insomnia prevents the ability-bearer from falling asleep, both from moves by other Pokémon like Sing, and self-inflicted sleep like Rest.', 'url': 'https://pokemondb.net/ability/insomnia'}, {'name': 'Forewarn', 'desc': 'Determines what moves the foe has.', 'effect': 'Determines what moves a foe has.\n', 'url': 'https://pokemondb.net/ability/forewarn'}, {'name': 'Inner Focus', 'desc': 'Prevents flinching.', 'effect': 'Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.', 'url': 'https://pokemondb.net/ability/inner-focus'}]"
97,Hypno,https://pokemondb.net/pokedex/hypno,Psychic,160.0 cm,75.6 kg,,"[{'name': 'Insomnia', 'desc': 'Prevents sleep.', 'effect': 'Insomnia prevents the ability-bearer from falling asleep, both from moves by other Pokémon like Sing, and self-inflicted sleep like Rest.', 'url': 'https://pokemondb.net/ability/insomnia'}, {'name': 'Forewarn', 'desc': 'Determines what moves the foe has.', 'effect': 'Determines what moves a foe has.\n', 'url': 'https://pokemondb.net/ability/forewarn'}, {'name': 'Inner Focus', 'desc': 'Prevents flinching.', 'effect': 'Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.', 'url': 'https://pokemondb.net/ability/inner-focus'}]"
98,Krabby,https://pokemondb.net/pokedex/krabby,Water,40.0 cm,6.5 kg,##0099 - Kingler - https://pokemondb.net/pokedex/kingler,"[{'name': 'Hyper Cutter', 'desc': 'Prevents ATTACK reduction.', 'effect': ""Hyper Cutter prevents the bearer's Attack stat from being lowered by other Pokémon, through moves such as Growl or abilities such as Intimidate."", 'url': 'https://pokemondb.net/ability/hyper-cutter'}, {'name': 'Shell Armor', 'desc': 'Blocks critical hits.', 'effect': 'Shell Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/shell-armor'}, {'name': 'Sheer Force', 'desc': 'Removes added effects to increase move damage.', 'effect': 'Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.', 'url': 'https://pokemondb.net/ability/sheer-force'}]"
99,Kingler,https://pokemondb.net/pokedex/kingler,Water,130.0 cm,60.0 kg,,"[{'name': 'Hyper Cutter', 'desc': 'Prevents ATTACK reduction.', 'effect': ""Hyper Cutter prevents the bearer's Attack stat from being lowered by other Pokémon, through moves such as Growl or abilities such as Intimidate."", 'url': 'https://pokemondb.net/ability/hyper-cutter'}, {'name': 'Shell Armor', 'desc': 'Blocks critical hits.', 'effect': 'Shell Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/shell-armor'}, {'name': 'Sheer Force', 'desc': 'Removes added effects to increase move damage.', 'effect': 'Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.', 'url': 'https://pokemondb.net/ability/sheer-force'}]"
100,Voltorb,https://pokemondb.net/pokedex/voltorb,Electric,50.0 cm,10.4 kg,##0101 - Electrode - https://pokemondb.net/pokedex/electrode; ##0101 - Electrode - https://pokemondb.net/pokedex/electrode,"[{'name': 'Soundproof', 'desc': 'Avoids sound-based moves.', 'effect': 'Soundproof grants the Pokémon immunity to all sound-based moves, preventing all damage and effects.', 'url': 'https://pokemondb.net/ability/soundproof'}, {'name': 'Static', 'desc': 'Paralyzes on contact.', 'effect': 'If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.', 'url': 'https://pokemondb.net/ability/static'}, {'name': 'Aftermath', 'desc': 'Damages the foe landing the finishing hit.', 'effect': 'If an attacker faints a Pokémon with Aftermath using a contact move, the attacker will lose 1⁄4 of their maximum HP.', 'url': 'https://pokemondb.net/ability/aftermath'}]"
101,Electrode,https://pokemondb.net/pokedex/electrode,Electric,120.0 cm,66.6 kg,##0100 - Voltorb - https://pokemondb.net/pokedex/voltorb,"[{'name': 'Soundproof', 'desc': 'Avoids sound-based moves.', 'effect': 'Soundproof grants the Pokémon immunity to all sound-based moves, preventing all damage and effects.', 'url': 'https://pokemondb.net/ability/soundproof'}, {'name': 'Static', 'desc': 'Paralyzes on contact.', 'effect': 'If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.', 'url': 'https://pokemondb.net/ability/static'}, {'name': 'Aftermath', 'desc': 'Damages the foe landing the finishing hit.', 'effect': 'If an attacker faints a Pokémon with Aftermath using a contact move, the attacker will lose 1⁄4 of their maximum HP.', 'url': 'https://pokemondb.net/ability/aftermath'}]"
102,Exeggcute,https://pokemondb.net/pokedex/exeggcute,"Grass, Psychic",40.0 cm,2.5 kg,##0103 - Exeggutor - https://pokemondb.net/pokedex/exeggutor; ##0103 - Exeggutor - https://pokemondb.net/pokedex/exeggutor,"[{'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Harvest', 'desc': 'May create another Berry after one is used.', 'effect': 'May create another Berry after one is used.\n', 'url': 'https://pokemondb.net/ability/harvest'}]"
103,Exeggutor,https://pokemondb.net/pokedex/exeggutor,"Grass, Psychic",200.0 cm,120.0 kg,,"[{'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Harvest', 'desc': 'May create another Berry after one is used.', 'effect': 'May create another Berry after one is used.\n', 'url': 'https://pokemondb.net/ability/harvest'}, {'name': 'Frisk', 'desc': 'The Pokémon can check the foe’s held item.', 'effect': ""The Pokémon can check a foe's held item.\n"", 'url': 'https://pokemondb.net/ability/frisk'}]"
104,Cubone,https://pokemondb.net/pokedex/cubone,Ground,40.0 cm,6.5 kg,##0105 - Marowak - https://pokemondb.net/pokedex/marowak; ##0105 - Marowak - https://pokemondb.net/pokedex/marowak,"[{'name': 'Rock Head', 'desc': 'Prevents recoil damage.', 'effect': 'Protects the Pokémon from recoil damage.\n', 'url': 'https://pokemondb.net/ability/rock-head'}, {'name': 'Lightning Rod', 'desc': 'Draws electrical moves.', 'effect': 'Lightning Rod forces all single-target Electric-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. This includes the status move Thunder Wave. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/lightning-rod'}, {'name': 'Battle Armor', 'desc': 'Blocks critical hits.', 'effect': 'Battle Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/battle-armor'}]"
105,Marowak,https://pokemondb.net/pokedex/marowak,Ground,100.0 cm,45.0 kg,,"[{'name': 'Rock Head', 'desc': 'Prevents recoil damage.', 'effect': 'Protects the Pokémon from recoil damage.\n', 'url': 'https://pokemondb.net/ability/rock-head'}, {'name': 'Lightning Rod', 'desc': 'Draws electrical moves.', 'effect': 'Lightning Rod forces all single-target Electric-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. This includes the status move Thunder Wave. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/lightning-rod'}, {'name': 'Battle Armor', 'desc': 'Blocks critical hits.', 'effect': 'Battle Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/battle-armor'}, {'name': 'Cursed Body', 'desc': 'May disable a move used on the Pokémon.', 'effect': 'May disable a move used on the Pokémon.\n', 'url': 'https://pokemondb.net/ability/cursed-body'}]"
106,Hitmonlee,https://pokemondb.net/pokedex/hitmonlee,Fighting,150.0 cm,49.8 kg,##0107 - Hitmonchan - https://pokemondb.net/pokedex/hitmonchan; ##0237 - Hitmontop - https://pokemondb.net/pokedex/hitmontop,"[{'name': 'Limber', 'desc': 'Prevents paralysis.', 'effect': 'The Pokémon is protected from paralysis.\n', 'url': 'https://pokemondb.net/ability/limber'}, {'name': 'Reckless', 'desc': 'Powers up moves that have recoil damage.', 'effect': ""Reckless increases the power of recoil moves by 20%. By extension, this means the amount of recoil damage taken will increase as more damage is dealt (except for High Jump Kick and Jump Kick which are based on the user's HP)."", 'url': 'https://pokemondb.net/ability/reckless'}, {'name': 'Unburden', 'desc': 'Raises Speed if a held item is used.', 'effect': 'Raises Speed if a held item is used.\n', 'url': 'https://pokemondb.net/ability/unburden'}]"
107,Hitmonchan,https://pokemondb.net/pokedex/hitmonchan,Fighting,140.0 cm,50.2 kg,##0237 - Hitmontop - https://pokemondb.net/pokedex/hitmontop,"[{'name': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'effect': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Iron Fist', 'desc': 'Boosts the power of punching moves.', 'effect': 'Iron Fist increases the power of all punching moves by 20%.', 'url': 'https://pokemondb.net/ability/iron-fist'}, {'name': 'Inner Focus', 'desc': 'Prevents flinching.', 'effect': 'Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.', 'url': 'https://pokemondb.net/ability/inner-focus'}]"
108,Lickitung,https://pokemondb.net/pokedex/lickitung,Normal,120.0 cm,65.5 kg,##0463 - Lickilicky - https://pokemondb.net/pokedex/lickilicky,"[{'name': 'Own Tempo', 'desc': 'Prevents confusion.', 'effect': 'Prevents the Pokémon from becoming confused.\n', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'name': 'Oblivious', 'desc': 'Prevents attraction.', 'effect': 'Oblivious makes the Pokémon immune to gender-based moves and abilities, specifically Attract, Captivate and Cute Charm.', 'url': 'https://pokemondb.net/ability/oblivious'}, {'name': 'Cloud Nine', 'desc': 'Negates weather effects.', 'effect': 'Cloud Nine suppresses all effects brought on by weather, including move power increases, end-of-turn damage, accuracy changes, relevant abilities and so on.', 'url': 'https://pokemondb.net/ability/cloud-nine'}]"
109,Koffing,https://pokemondb.net/pokedex/koffing,Poison,60.0 cm,1.0 kg,##0110 - Weezing - https://pokemondb.net/pokedex/weezing; ##0110 - Weezing - https://pokemondb.net/pokedex/weezing,"[{'name': 'Levitate', 'desc': 'Not hit by GROUND attacks.', 'effect': 'Levitate causes the Pokémon to be raised (like Flying-type Pokémon).', 'url': 'https://pokemondb.net/ability/levitate'}, {'name': 'Neutralizing Gas', 'desc': 'If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon’s Abilities will be nullified or will not be triggered.', 'effect': 'Neutralizes abilities of all Pokémon in battle.\n', 'url': 'https://pokemondb.net/ability/neutralizing-gas'}, {'name': 'Stench', 'desc': 'Helps repel wild POKéMON.', 'effect': 'A Pokémon with Stench has a 10% chance of causing the opponent to flinch when hit by a damaging move (provided the ability-bearer strikes first as usual).', 'url': 'https://pokemondb.net/ability/stench'}]"
110,Weezing,https://pokemondb.net/pokedex/weezing,Poison,120.0 cm,9.5 kg,,"[{'name': 'Levitate', 'desc': 'Not hit by GROUND attacks.', 'effect': 'Levitate causes the Pokémon to be raised (like Flying-type Pokémon).', 'url': 'https://pokemondb.net/ability/levitate'}, {'name': 'Neutralizing Gas', 'desc': 'If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon’s Abilities will be nullified or will not be triggered.', 'effect': 'Neutralizes abilities of all Pokémon in battle.\n', 'url': 'https://pokemondb.net/ability/neutralizing-gas'}, {'name': 'Stench', 'desc': 'Helps repel wild POKéMON.', 'effect': 'A Pokémon with Stench has a 10% chance of causing the opponent to flinch when hit by a damaging move (provided the ability-bearer strikes first as usual).', 'url': 'https://pokemondb.net/ability/stench'}, {'name': 'Misty Surge', 'desc': 'Turns the ground into Misty Terrain when the Pokémon enters a battle.', 'effect': 'Misty Surge creates a low-lying mist, like the move Misty Terrain, when the bearer enters battle. It protects all grounded Pokémon from status conditions and halves the power of Dragon type attacks.', 'url': 'https://pokemondb.net/ability/misty-surge'}]"
111,Rhyhorn,https://pokemondb.net/pokedex/rhyhorn,"Ground, Rock",100.0 cm,115.0 kg,##0112 - Rhydon - https://pokemondb.net/pokedex/rhydon; ##0464 - Rhyperior - https://pokemondb.net/pokedex/rhyperior,"[{'name': 'Lightning Rod', 'desc': 'Draws electrical moves.', 'effect': 'Lightning Rod forces all single-target Electric-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. This includes the status move Thunder Wave. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/lightning-rod'}, {'name': 'Rock Head', 'desc': 'Prevents recoil damage.', 'effect': 'Protects the Pokémon from recoil damage.\n', 'url': 'https://pokemondb.net/ability/rock-head'}, {'name': 'Reckless', 'desc': 'Powers up moves that have recoil damage.', 'effect': ""Reckless increases the power of recoil moves by 20%. By extension, this means the amount of recoil damage taken will increase as more damage is dealt (except for High Jump Kick and Jump Kick which are based on the user's HP)."", 'url': 'https://pokemondb.net/ability/reckless'}]"
112,Rhydon,https://pokemondb.net/pokedex/rhydon,"Ground, Rock",190.0 cm,120.0 kg,##0464 - Rhyperior - https://pokemondb.net/pokedex/rhyperior,"[{'name': 'Lightning Rod', 'desc': 'Draws electrical moves.', 'effect': 'Lightning Rod forces all single-target Electric-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. This includes the status move Thunder Wave. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/lightning-rod'}, {'name': 'Rock Head', 'desc': 'Prevents recoil damage.', 'effect': 'Protects the Pokémon from recoil damage.\n', 'url': 'https://pokemondb.net/ability/rock-head'}, {'name': 'Reckless', 'desc': 'Powers up moves that have recoil damage.', 'effect': ""Reckless increases the power of recoil moves by 20%. By extension, this means the amount of recoil damage taken will increase as more damage is dealt (except for High Jump Kick and Jump Kick which are based on the user's HP)."", 'url': 'https://pokemondb.net/ability/reckless'}]"
113,Chansey,https://pokemondb.net/pokedex/chansey,Normal,110.0 cm,34.6 kg,##0242 - Blissey - https://pokemondb.net/pokedex/blissey,"[{'name': 'Natural Cure', 'desc': 'Heals upon switching out.', 'effect': 'All status problems heal when it switches out.\n', 'url': 'https://pokemondb.net/ability/natural-cure'}, {'name': 'Serene Grace', 'desc': 'Promotes added effects.', 'effect': ""Serene Grace doubles the chance of moves' secondary effects occurring - specifically stat changes, status ailments, or flinching. It also increases the chance of flinching due to the held items King's Rock and Razor Fang from 10% to 20% (however, note that those items do not affect moves that already have a flinch chance)."", 'url': 'https://pokemondb.net/ability/serene-grace'}, {'name': 'Healer', 'desc': 'May heal an ally’s status conditions.', 'effect': ""May heal an ally's status conditions.\n"", 'url': 'https://pokemondb.net/ability/healer'}]"
114,Tangela,https://pokemondb.net/pokedex/tangela,Grass,100.0 cm,35.0 kg,##0465 - Tangrowth - https://pokemondb.net/pokedex/tangrowth,"[{'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Leaf Guard', 'desc': 'Prevents status problems in sunny weather.', 'effect': 'Leaf Guard prevents the bearer from succumbing to major status ailments (sleep, burns, poisoning, paralysis or freezing) during sunny weather.', 'url': 'https://pokemondb.net/ability/leaf-guard'}, {'name': 'Regenerator', 'desc': 'Restores a little HP when withdrawn from battle.', 'effect': 'A Pokémon with Regenerator restores 1⁄3 of its maximum HP when switching out.', 'url': 'https://pokemondb.net/ability/regenerator'}]"
115,Kangaskhan,https://pokemondb.net/pokedex/kangaskhan,Normal,220.0 cm,80.0 kg,,"[{'name': 'Early Bird', 'desc': 'Awakens quickly from sleep.', 'effect': 'The Pokémon awakens quickly from sleep.\n', 'url': 'https://pokemondb.net/ability/early-bird'}, {'name': 'Scrappy', 'desc': 'Enables moves to hit Ghost-type foes.', 'effect': 'Enables moves to hit Ghost-type Pokémon.\n', 'url': 'https://pokemondb.net/ability/scrappy'}, {'name': 'Inner Focus', 'desc': 'Prevents flinching.', 'effect': 'Inner Focus prevents the Pokémon from flinching, for example when attacked by a move like Headbutt.', 'url': 'https://pokemondb.net/ability/inner-focus'}, {'name': 'Parental Bond', 'desc': 'Parent and child attack together.', 'effect': 'Parental Bond allows the ability-bearer to attack twice. The second attack hits with 25% of the power, so in effect it is equivalent to a 25% boost to all attacks.', 'url': 'https://pokemondb.net/ability/parental-bond'}]"
116,Horsea,https://pokemondb.net/pokedex/horsea,Water,40.0 cm,8.0 kg,##0117 - Seadra - https://pokemondb.net/pokedex/seadra; ##0230 - Kingdra - https://pokemondb.net/pokedex/kingdra,"[{'name': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'effect': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}, {'name': 'Sniper', 'desc': 'Powers up moves if they become critical hits.', 'effect': 'Sniper increases the power of critical hits by 1.5×. This means a critical hit will deal 2.25× normal damage instead of 1.5×.', 'url': 'https://pokemondb.net/ability/sniper'}, {'name': 'Damp', 'desc': 'Prevents self-destruction.', 'effect': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion. It also prevents damage (to the Damp Pokémon only) from the ability Aftermath.', 'url': 'https://pokemondb.net/ability/damp'}]"
117,Seadra,https://pokemondb.net/pokedex/seadra,Water,120.0 cm,25.0 kg,##0230 - Kingdra - https://pokemondb.net/pokedex/kingdra,"[{'name': 'Poison Point', 'desc': 'Poisons foe on contact.', 'effect': 'Contact with the Pokémon may poison the attacker.\n', 'url': 'https://pokemondb.net/ability/poison-point'}, {'name': 'Sniper', 'desc': 'Powers up moves if they become critical hits.', 'effect': 'Sniper increases the power of critical hits by 1.5×. This means a critical hit will deal 2.25× normal damage instead of 1.5×.', 'url': 'https://pokemondb.net/ability/sniper'}, {'name': 'Damp', 'desc': 'Prevents self-destruction.', 'effect': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion. It also prevents damage (to the Damp Pokémon only) from the ability Aftermath.', 'url': 'https://pokemondb.net/ability/damp'}]"
118,Goldeen,https://pokemondb.net/pokedex/goldeen,Water,60.0 cm,15.0 kg,##0119 - Seaking - https://pokemondb.net/pokedex/seaking,"[{'name': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'effect': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}, {'name': 'Water Veil', 'desc': 'Prevents burns.', 'effect': 'Prevents the Pokémon from getting a burn.\n', 'url': 'https://pokemondb.net/ability/water-veil'}, {'name': 'Lightning Rod', 'desc': 'Draws electrical moves.', 'effect': 'Lightning Rod forces all single-target Electric-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. This includes the status move Thunder Wave. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/lightning-rod'}]"
119,Seaking,https://pokemondb.net/pokedex/seaking,Water,130.0 cm,39.0 kg,,"[{'name': 'Swift Swim', 'desc': 'Raises SPEED in rain.', 'effect': ""Swift Swim doubles the ability-bearer's Speed during rain."", 'url': 'https://pokemondb.net/ability/swift-swim'}, {'name': 'Water Veil', 'desc': 'Prevents burns.', 'effect': 'Prevents the Pokémon from getting a burn.\n', 'url': 'https://pokemondb.net/ability/water-veil'}, {'name': 'Lightning Rod', 'desc': 'Draws electrical moves.', 'effect': 'Lightning Rod forces all single-target Electric-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. This includes the status move Thunder Wave. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/lightning-rod'}]"
120,Staryu,https://pokemondb.net/pokedex/staryu,Water,80.0 cm,34.5 kg,##0121 - Starmie - https://pokemondb.net/pokedex/starmie,"[{'name': 'Illuminate', 'desc': 'Encounter rate increases.', 'effect': 'Illuminate has no effect in battle.', 'url': 'https://pokemondb.net/ability/illuminate'}, {'name': 'Natural Cure', 'desc': 'Heals upon switching out.', 'effect': 'All status problems heal when it switches out.\n', 'url': 'https://pokemondb.net/ability/natural-cure'}, {'name': 'Analytic', 'desc': 'Boosts move power when the Pokémon moves last.', 'effect': 'Boosts move power when the Pokémon moves last.\n', 'url': 'https://pokemondb.net/ability/analytic'}]"
121,Starmie,https://pokemondb.net/pokedex/starmie,"Water, Psychic",110.0 cm,80.0 kg,,"[{'name': 'Illuminate', 'desc': 'Encounter rate increases.', 'effect': 'Illuminate has no effect in battle.', 'url': 'https://pokemondb.net/ability/illuminate'}, {'name': 'Natural Cure', 'desc': 'Heals upon switching out.', 'effect': 'All status problems heal when it switches out.\n', 'url': 'https://pokemondb.net/ability/natural-cure'}, {'name': 'Analytic', 'desc': 'Boosts move power when the Pokémon moves last.', 'effect': 'Boosts move power when the Pokémon moves last.\n', 'url': 'https://pokemondb.net/ability/analytic'}]"
